#OTU	ID	taxonomy
253	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;kookii
254	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;lactucae
255	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;lanii
256	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;larvae
257	1.0	NA;NA;NA;NA;NA;NA
258	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;modestus
259	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;nectaris
260	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;nematophilus
261	1.0	NA;NA;NA;NA;NA;NA
262	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;parvus
263	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;pecorum
264	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;piscicola
265	1.0	NA;NA;NA;NA;NA;NA
266	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;pollinis
267	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;populi
268	1.0	NA;NA;NA;NA;NA;NA
269	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;pragensis
270	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;proteolyticus
271	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;pseudolwoffii
272	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;puyangensis
273	1.0	NA;NA;NA;NA;NA;NA
274	1.0	NA;NA;NA;NA;NA;NA
275	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;rathckeae
276	1.0	NA;NA;NA;NA;NA;NA
277	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;schindleri
278	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;sedimenti
279	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;seifertii
280	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;shaoyimingii
281	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;sichuanensis
282	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;silvestris
283	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;soli
284	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;stercoris
285	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;suaedae
286	1.0	NA;NA;NA;NA;NA;NA
287	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;terrae
288	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;terrestris
289	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;tibetensis
